afr	afr-x-bible-newworld
aln	aln-x-bible-newworld
amh	amh-x-bible-newworld
apu	apu-x-bible
bam	bam-x-bible
bel	bel-x-bible-bokun
ben	ben-x-bible-common
bre	bre-x-bible
bul	bul-x-bible-newworld
cat	cat-x-bible-evangelica
ckt	ckt-x-bible
cop	cop-x-bible-bohairic
hrv	hrv-x-bible-complete
ces	ces-x-bible-newworld
dan	dan-x-bible-newworld
nld	nld-x-bible-newworld
myv	myv-x-bible
est	est-x-bible-1997
fao	fao-x-bible
fry	fry-x-bible
got	got-x-bible
gub	gub-x-bible
hin	hin-x-bible-latin
hun	hun-x-bible-newworld
isl	isl-x-bible
ind	ind-x-bible-newworld
gle	gle-x-bible
jav	jav-x-bible-1994
urb	urb-x-bible
kaz	kaz-x-bible
quc	quc-x-bible-1995
kpv	kpv-x-bible
lat	lat-x-bible-novavulgata
lav	lav-x-bible
lit	lit-x-bible-ecumenical
nds	nds-x-bible
mlt	mlt-x-bible-newworld
glv	glv-x-bible
mar	mar-x-bible
gun	gun-x-bible
myu	myu-x-bible
pcm	pcm-x-bible
sme	sme-x-bible
nob	nob-x-bible-newworld
chu	chu-x-bible
pol	pol-x-bible-newworld
ron	ron-x-bible-newworld
gla	gla-x-bible
srp	srp-x-bible-newworld
slk	slk-x-bible-newworld
slv	slv-x-bible-newworld
tgl	tgl-x-bible-newworld
tam	tam-x-bible-newworld
tat	tat-x-bible
tel	tel-x-bible
tha	tha-x-bible-standard2011
tur	tur-x-bible-newworld
ukr	ukr-x-bible-2009
urd	urd-x-bible-2007
uig	uig-x-bible
vie	vie-x-bible-2002
wbp	wbp-x-bible
cym	cym-x-bible-morgan1804
hye	hye-x-bible-newworld
wol	wol-x-bible
sah	sah-x-bible
yor	yor-x-bible-2010
sqi	sqi-x-bible
grc	grc-x-bible-accented
grc1	grc-x-bible-unaccented
grc2	grc-x-bible-helfi
arb	arb-x-bible
zho	zho-x-bible-newworld
eng	eng-x-bible-mixed
fin	fin-x-bible-helfi
fra	fra-x-bible-louissegond
deu	deu-x-bible-bolsinger
ell	ell-x-bible-newworld
heb	heb-x-bible-helfi
hin1	hin-x-bible-bsi
ita	ita-x-bible-2009
kor	kor-x-bible-newworld1999
pes	pes-x-bible-newmillennium2011
por	por-x-bible-newworld1996
rus	rus-x-bible-newworld
spa	spa-x-bible-hablahoi-latina
swe	swe-x-bible-newworld
kir	kir-x-bible-newworld
hat	hat-x-bible-1999
ceb	ceb-x-bible-newworld
che	che-x-bible
nno	nno-x-bible-student
uzb	uzb-x-bible-latin2013
aze	aze-x-bible-newworld
sun	sun-x-bible-informal
swh	swh-x-bible-newworld
plt	plt-x-bible-romancatholic
guj	guj-x-bible
eus	eus-x-bible-navarrolabourdin
