eng	eng-x-bible-mixed
deu	deu-x-bible-bolsinger
rus	rus-x-bible-newworld
dan	dan-x-bible-newworld
fin	fin-x-bible-helfi
gle	gle-x-bible
pol	pol-x-bible-newworld
swe	swe-x-bible-newworld
ita	ita-x-bible-2009
fra	fra-x-bible-louissegond
spa	spa-x-bible-newworld
zho	zho-x-bible-newworld
arb	arb-x-bible
urd	urd-x-bible-2007
hun	hun-x-bible-newworld
ell	ell-x-bible-newworld
heb	heb-x-bible-helfi
ces	ces-x-bible-newworld
afr	afr-x-bible-newworld
amh	amh-x-bible-newworld
eus	eus-x-bible-navarrolabourdin
bul	bul-x-bible-newworld
hin	hin-x-bible-bsi
ind	ind-x-bible-newworld
lit	lit-x-bible-ecumenical
pes	pes-x-bible-newmillennium2011
por	por-x-bible-newworld1996
tel	tel-x-bible
tur	tur-x-bible-newworld
bam	bam-x-bible
bel	bel-x-bible-bokun
myv	myv-x-bible
glv	glv-x-bible
mar	mar-x-bible
yor	yor-x-bible-2010
tam	tam-x-bible-newworld
